Number of components,Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Density, g/cm3",Smiles#1,Smiles#2
2,3,1-butyl-3-methylimidazol-3-ium;chloride,5-methyl-1H-imidazole,0.5,0.5,298.2,1.089,CCCCN1C=C[N+](=C1)C.[Cl-],CC1=CN=CN1
2,3,1-butyl-3-methylimidazol-3-ium;chloride,5-methyl-1H-imidazole,0.3333,0.6667,298.2,1.134,CCCCN1C=C[N+](=C1)C.[Cl-],CC1=CN=CN1
2,3,1-butyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.5,0.5,298.2,1.118,CCCCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
2,3,1-butyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.3333,0.6667,298.2,1.113,CCCCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
2,3,1-butyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.667,0.333,298.2,1.134,CCCCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-triazole,0.3333,0.6667,298.15,1.146,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-triazole,0.3333,0.6667,303.15,1.1429,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-triazole,0.3333,0.6667,313.15,1.1367,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-triazole,0.3333,0.6667,323.15,1.1306,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-triazole,0.3333,0.6667,333.15,1.1246,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.5,0.5,313.2,1.1606,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.667,0.333,298.15,1.1521,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.667,0.333,303.15,1.149,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.667,0.333,313.15,1.1428,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.667,0.333,323.15,1.1366,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.667,0.333,333.15,1.1305,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1,3-diaminopropan-2-ol",0.3333,0.6667,298.15,1.1347,CCN1C=C[N+](=C1)C.[Cl-],C(C(CN)O)N
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1,3-diaminopropan-2-ol",0.3333,0.6667,303.15,1.1316,CCN1C=C[N+](=C1)C.[Cl-],C(C(CN)O)N
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1,3-diaminopropan-2-ol",0.3333,0.6667,313.15,1.1253,CCN1C=C[N+](=C1)C.[Cl-],C(C(CN)O)N
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1,3-diaminopropan-2-ol",0.3333,0.6667,323.15,1.1191,CCN1C=C[N+](=C1)C.[Cl-],C(C(CN)O)N
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"1,3-diaminopropan-2-ol",0.3333,0.6667,333.15,1.1129,CCN1C=C[N+](=C1)C.[Cl-],C(C(CN)O)N
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-benzotriazole,0.5,0.5,313.2,1.4667,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.5,0.5,313.15,1.1682,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,298.15,1.13392,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,308.15,1.12778,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,318.15,1.12167,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,328.15,1.11561,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,338.15,1.10961,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,348.15,1.10367,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.3333,0.6667,358.15,1.09776,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"2-aminopropane-1,3-diol",0.3333,0.6667,298.15,1.14695,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)N)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"2-aminopropane-1,3-diol",0.3333,0.6667,303.15,1.1439,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)N)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"2-aminopropane-1,3-diol",0.3333,0.6667,313.15,1.13775,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)N)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"2-aminopropane-1,3-diol",0.3333,0.6667,323.15,1.1318,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)N)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"2-aminopropane-1,3-diol",0.3333,0.6667,333.15,1.1257,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)N)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,1H-benzimidazole,0.5,0.5,313.2,1.1496,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C2C(=C1)NC=N2
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.3333,0.6667,293.15,1.11908,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.3333,0.6667,303.15,1.11281,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.3333,0.6667,313.15,1.10653,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.10024,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.3333,0.6667,333.15,1.09395,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.5,0.5,293.15,1.12419,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.5,0.5,303.15,1.119,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.5,0.5,313.15,1.11295,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.5,0.5,323.15,1.10689,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.5,0.5,333.15,1.10082,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.667,0.333,293.15,1.12655,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.667,0.333,303.15,1.12108,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.667,0.333,313.15,1.11518,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.667,0.333,323.15,1.10926,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"ethane-1,2-diol",0.667,0.333,333.15,1.10334,CCN1C=C[N+](=C1)C.[Cl-],C(CO)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,1.1636,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)O)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.1607,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)O)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,1.1548,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)O)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,1.1489,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)O)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,"propane-1,2,3-triol",0.3333,0.6667,333.15,1.1431,CCN1C=C[N+](=C1)C.[Cl-],C(C(CO)O)O
2,3,1-ethyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.25,0.75,298.2,1.11876,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
