Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.5,0.5,313.15,1.69E-06,-5.772113295,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.5,0.5,323.15,2.58E-06,-5.588380294,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.5,0.5,333.15,4.86E-06,-5.313363731,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.5,0.5,343.15,8.13E-06,-5.089909454,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.6667,0.3333,303.15,1.68E-06,-5.774690718,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.6667,0.3333,313.15,3.46E-06,-5.460923901,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.6667,0.3333,323.15,6.08E-06,-5.216096421,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.6667,0.3333,333.15,9.87E-06,-5.005682847,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.6667,0.3333,343.15,1.49E-05,-4.827689031,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.75,0.25,303.15,2.75E-06,-5.560667306,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.75,0.25,313.15,4.86E-06,-5.313363731,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.75,0.25,323.15,8.58E-06,-5.066512712,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.75,0.25,333.15,1.36E-05,-4.86518563,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.75,0.25,343.15,2.02E-05,-4.694218849,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.8,0.2,303.15,3.33E-06,-5.477555766,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.8,0.2,313.15,6.25E-06,-5.204119983,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.8,0.2,323.15,1.10E-05,-4.957818405,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.8,0.2,333.15,1.89E-05,-4.7242281,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-hydroxyacetic acid,"(2R,4S)-pentane-1,2,3,4,5-pentol",0.8,0.2,343.15,3.14E-05,-4.503347061,C(C(=O)O)O,C([C@H](C([C@H](CO)O)O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,293.15,1.89E-04,-3.723538196,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,303.15,2.02E-04,-3.694648631,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,313.15,2.90E-04,-3.537602002,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,323.15,4.60E-04,-3.337242168,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,333.15,8.60E-04,-3.065501549,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,343.15,1.11E-03,-2.954677021,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,353.15,1.59E-03,-2.798602876,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,acetic acid,0.5,0.5,363.15,2.20E-03,-2.657577319,C(CO)N(CCO)CCO,CC(=O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,293.15,1.80E-05,-4.744727495,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,303.15,2.90E-05,-4.537602002,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,313.15,4.10E-05,-4.387216143,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,323.15,9.30E-05,-4.031517051,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,333.15,1.97E-04,-3.705533774,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,343.15,3.19E-04,-3.496209317,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,353.15,4.05E-04,-3.392544977,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"1,3-dimethylurea",0.3333,0.6667,363.15,4.47E-04,-3.349692477,C(CO)N(CCO)CCO,CNC(=O)NC,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,293.15,3.30E-05,-4.48148606,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,303.15,4.80E-05,-4.318758763,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,313.15,6.70E-05,-4.173925197,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,323.15,7.50E-05,-4.124938737,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,333.15,1.00E-04,-4,C(CO)N(CCO)CCO,C(CO)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,"ethane-1,2-diol",0.3333,0.6667,343.15,1.13E-04,-3.946921557,C(CO)N(CCO)CCO,C(CO)O,,,
