Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Heat_capacity, J.mol-1.K-1",Smiles#1,Smiles#2
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,298.15,259,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,303.15,268,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,313.15,290,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,323.15,305,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,298.15,235.9,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,303.15,248,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,313.15,280.9,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,323.15,299.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,298.15,193.7,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,303.15,205.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,313.15,227.8,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,323.15,247.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,298.15,145.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,303.15,153.6,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,313.15,172.1,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,323.15,190.2,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,298.15,257,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,303.15,262,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,313.15,275,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,323.15,290,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,298.15,215.5,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,303.15,225.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
