Type of DES,Component#1,Component#2,X#1,X#2,"Melting_point, K",Smiles#1,Smiles#2,"T#1, K","T#2, K"
III,ethanamine;hydrochloride,trifluoromethylurea,0.4,0.6,293.15,CCN.Cl,C(=O)(N)NC(F)(F)F,380.65,302.96
III,2-hydroxyethyl(trimethyl)azanium;chloride,methylurea,0.3333,0.6667,302.15,C[N+](C)(C)CCO.[Cl-],CNC(=O)N,578.15,373.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.34,0.66,261.71,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.28,0.72,249.07,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.25,0.75,241.15,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.3333,0.6667,422.15,C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,578.15,454.2
III,2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.38,0.62,392.15,C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,578.15,454.2
III,tetraethylazanium;bromide,"1,3-dimethylurea",0.3333,0.6667,296.15,CC[N+](CC)(CC)CC.[Br-],CNC(=O)NC,633,379.4
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.75,0.25,372.87,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.6667,0.3333,374.69,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.5,0.5,387.58,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,406.92,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.1667,0.8333,403.05,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.4,0.6,294,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.36,0.64,270,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,243.14,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,243,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.29,0.71,229,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.6667,0.3333,300,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.5,0.5,298.7,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
