Type of DES,Component#1,Component#2,X#1,X#2,"T, K",Refractive_index,Smiles#1,Smiles#2
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,288.15,1.4744,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,293.15,1.4732,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,303.15,1.4709,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,308.15,1.4697,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,318.15,1.4674,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,323.15,1.4663,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,328.15,1.4651,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,333.15,1.4639,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,2-chloroacetic acid,0.3333,0.6667,338.15,1.4627,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)Cl
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,288.15,1.4499,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,298.15,1.4482,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,303.15,1.4472,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,313.15,1.4453,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,318.15,1.4444,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,323.15,1.4434,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,328.15,1.4425,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,333.15,1.4415,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,propanoic acid,0.3333,0.6667,338.15,1.4406,C[N+](C)(C)CCO.[Cl-],CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,288.15,1.5189,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,298.15,1.5167,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,303.15,1.5155,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,308.15,1.5144,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,318.15,1.512,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,323.15,1.5108,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,328.15,1.5096,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-methylbenzenesulfonic acid,0.3333,0.6667,333.15,1.5084,C[N+](C)(C)CCO.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,288.15,1.4934,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,293.15,1.492,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,298.15,1.4907,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,303.15,1.4894,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
