Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,2-acetyloxyethyl(trimethyl)azanium chloride,urea,0.333,0.667,313.15,65.1,CC(=O)OCC[N+](C)(C)C.[Cl-],C(=O)(N)N
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,298.15,46.34,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,303.15,45.72,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,308.15,45.13,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,313.15,44.53,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,318.15,43.96,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,323.15,43.28,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,328.15,42.71,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,333.15,42.1,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,338.15,41.46,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.091,0.909,343.15,40.86,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,298.15,49.37,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,303.15,48.87,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,308.15,48.35,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,313.15,47.83,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,318.15,47.33,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,323.15,46.82,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,328.15,46.35,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,333.15,45.86,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,338.15,45.36,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,343.15,44.9,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,298.15,47.38,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,303.15,46.88,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,308.15,46.33,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,313.15,45.82,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,318.15,45.33,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,323.15,44.8,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,328.15,44.3,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,333.15,43.85,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,338.15,43.36,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-(2-hydroxyethoxy)ethanol,0.2,0.8,343.15,42.89,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,303.15,47.68,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,328.15,44.35,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,298.15,48.25,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,308.15,47.01,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,313.15,46.39,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,318.15,45.72,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,323.15,44.99,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,333.15,43.62,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,338.15,43,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,343.15,42.38,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,298.15,45.37,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,303.15,44.69,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,308.15,44.12,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,313.15,43.55,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,318.15,42.91,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,323.15,42.33,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,328.15,41.82,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,333.15,41.17,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,338.15,40.55,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.059,0.941,343.15,40.11,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,298.15,46.21,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,303.15,45.66,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,308.15,45.01,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,313.15,44.33,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,318.15,43.66,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,323.15,42.96,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,328.15,42.27,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,333.15,41.62,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,338.15,41.11,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.091,0.909,343.15,40.58,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,butan-1-amine;hydrobromide,"propane-1,2,3-triol",0.333,0.667,298.15,44.9,CCCCN.Br,C(C(CO)O)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,293,66.68,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,303,65.24,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,313,61.01,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,323,57.05,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
