Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Viscosity, mPa.s",lg_Viscosity,Smiles#1,Smiles#2
III,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.5,0.5,313.15,34.7,1.540329475,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
III,1-ethyl-3-methylimidazol-3-ium;chloride,2H-benzotriazole,0.5,0.5,313.15,75.3,1.876794976,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1
III,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.5,0.5,313.15,44.6,1.649334859,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
III,1-ethyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.5,0.5,313.15,317.4,2.501606922,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
III,1-ethyl-3-methylimidazol-3-ium;chloride,phenol,0.5,0.5,313.15,58,1.763427994,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C(C=C1)O
III,1-ethyl-3-methylimidazol-3-ium;chloride,"pyrrolidine-2,5-dione",0.5,0.5,313.15,59.3,1.773054693,CCN1C=C[N+](=C1)C.[Cl-],C1CC(=O)NC1=O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,313.15,330.7,2.519434195,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,323.15,165,2.217483944,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,333.15,89.1,1.949877704,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,343.15,51.8,1.71432976,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,353.15,31.4,1.496929648,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,313.15,300.2,2.477410688,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,323.15,151.7,2.180985581,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,333.15,83.7,1.922725458,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,343.15,48.5,1.685741739,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,353.15,29.7,1.472756449,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,313.15,296.7,2.472317546,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,323.15,147.8,2.169674434,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,333.15,79.6,1.900913068,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
